period	subgrp	N	mob1	mob2	mob3	mob1se	mob2se	mob3se
"K to 1"	"s1_all_all"	10300	.12315787	.04939973	.01721503	.00704974	.00475321	.0026428
"K to 1"	"s1_all_male"	5290	.12295807	.04926679	.01774549	.00803734	.00491762	.00289389
"K to 1"	"s1_all_female"	5000	.12336945	.04954051	.01665329	.00881198	.00615139	.00334171
"K to 1"	"s1_all_ethblk"	1280	.20055201	.0493769	.01411361	.0167633	.00893614	.00464319
"K to 1"	"s1_all_ethlat"	2650	.14789391	.0630871	.01456298	.01395225	.0095538	.00298934
"K to 1"	"s1_all_ethwht"	4980	.09103543	.04394902	.01955427	.00769657	.00570594	.00465087
"K to 1"	"s1_all_ethapi"	800	.09001247	.03321347	-99	.01854315	.0096074	-99
"K to 1"	"s1_all_sesl"	4420	.15365617	.05642618	.01201073	.01014143	.00580046	.00313169
"K to 1"	"s1_all_sesh"	1820	.08339568	.04138443	.02765942	.0099632	.00774729	.00652629
"K to 1"	"s1_all_ssml"	3960	.14893822	.05677714	.01309915	.00982148	.00667189	.00228989
"K to 1"	"s1_all_ssmh"	2120	.09028182	.04212659	.02255152	.01173215	.00773808	.00564013
"K to 1"	"s1_all_ssrl"	3860	.15121697	.05300013	.01299376	.00958368	.00655542	.00290257
"K to 1"	"s1_all_ssrh"	2100	.10264715	.04392431	.02453953	.01409266	.00871761	.0058769
"K to 1"	"s1_all_swdy"	1700	.1335153	.05479344	.02069259	.01026357	.00735052	.00494428
"K to 1"	"s1_all_swdn"	6840	.11310215	.04563283	.01671142	.00807302	.00534999	.00360337
"K to 1"	"s1_all_ell"	1970	.13786261	.04742084	.01216712	.01401009	.00900774	.00374042
"K to 1"	"s1_all_elln"	8310	.11979418	.04991018	.01825846	.00730969	.00475161	.0029843
"K to 1"	"s1_t1y_all"	7990	.13886382	.05436635	.01691997	.00878011	.00577767	.00321425
"K to 1"	"s1_t1y_male"	4140	.13712988	.05372626	.0180635	.00987002	.00610364	.00354881
"K to 1"	"s1_t1y_female"	3840	.14072139	.05505207	.01569489	.01103694	.00734307	.00407152
"K to 1"	"s1_t1y_ethblk"	1180	.20590644	.05083551	.01439291	.0179211	.00912205	.00495124
"K to 1"	"s1_t1y_ethlat"	2430	.15529135	.0640053	.01325639	.01458449	.01012827	.00327631
"K to 1"	"s1_t1y_ethwht"	3470	.10649179	.04980692	.0194129	.01140303	.00819126	.00629844
"K to 1"	"s1_t1y_ethapi"	500	.10700499	.04464855	-99	.02410888	.01480122	-99
"K to 1"	"s1_t1y_sesl"	4060	.15963073	.05921251	.01224953	.01078545	.00630941	.00331351
"K to 1"	"s1_t1y_sesh"	960	.09398227	.03819912	.02613409	.01348052	.00865673	.007526
"K to 1"	"s1_t1y_ssml"	3420	.15789942	.05902143	.01265952	.01116855	.00759761	.00279014
"K to 1"	"s1_t1y_ssmh"	1370	.10756673	.04577549	.02070412	.01631765	.01056715	.00725607
"K to 1"	"s1_t1y_ssrl"	3330	.16039645	.05649146	.0118887	.01057034	.00760633	.00330716
"K to 1"	"s1_t1y_ssrh"	1360	.12507973	.04932867	.02484693	.0188487	.01113606	.00689586
"K to 1"	"s1_t1y_swdy"	1300	.14504667	.05927145	.02035763	.01171943	.00872671	.00583453
"K to 1"	"s1_t1y_swdn"	5190	.1300639	.05123599	.01712573	.01036426	.00658094	.00429454
"K to 1"	"s1_t1y_ell"	1760	.14364484	.04891228	.01067031	.01443482	.00980259	.00366723
"K to 1"	"s1_t1y_elln"	6220	.13719567	.05576525	.01841805	.00958692	.00593812	.00376796
"K to 1"	"s1_t1n_all"	2280	.06078725	.03008827	.01862912	.00764092	.0051207	.00471093
"K to 1"	"s1_t1n_male"	1140	.06430708	.0314986	.01667561	.00886838	.00678783	.006017
"K to 1"	"s1_t1n_female"	1150	.05723168	.02866362	.02060246	.0107435	.00684254	.00614473
"K to 1"	"s1_t1n_ethblk"	100	.12158233	-99	-99	.04572235	-99	-99
"K to 1"	"s1_t1n_ethlat"	230	.07376643	.05404136	-99	.01628135	.01344772	-99
"K to 1"	"s1_t1n_ethwht"	1480	.05103216	.02942742	.02027159	.00788454	.00623983	.00509136
"K to 1"	"s1_t1n_ethapi"	310	.05672106	-99	-99	.01944721	-99	-99
"K to 1"	"s1_t1n_sesl"	360	.08471892	-99	-99	.01695686	-99	-99
"K to 1"	"s1_t1n_sesh"	850	.07147705	.04602547	.03000628	.01359695	.01225439	.01073628
"K to 1"	"s1_t1n_ssml"	540	.08797124	.04183385	-99	.01513118	.00848092	-99
"K to 1"	"s1_t1n_ssmh"	740	.05369615	.03464158	.02679447	.01288212	.0107856	.0097732
"K to 1"	"s1_t1n_ssrl"	530	.0880473	.02891222	.02102588	.01634433	.00860296	.00876586
"K to 1"	"s1_t1n_ssrh"	740	.05287781	.03216462	.02413536	.01255347	.01051779	.00869728
"K to 1"	"s1_t1n_swdy"	380	.08746236	.038984	-99	.02061127	.01391475	-99
"K to 1"	"s1_t1n_swdn"	1630	.05213457	.02557032	.01535309	.00818626	.00562945	.00530087
"K to 1"	"s1_t1n_ell"	210	.07761922	-99	-99	.02857796	-99	-99
"K to 1"	"s1_t1n_elln"	2060	.05935567	.03002645	.01795846	.00834524	.00537272	.0046784
"K to 1"	"s1_region1_all"	1520	.09031276	.04144853	.00854322	.01714096	.00618566	.00373832
"K to 1"	"s1_region1_male"	750	.08252966	.02991369	-99	.02138964	.01150509	-99
"K to 1"	"s1_region1_female"	770	.09834341	.05335023	-99	.01931506	.01112883	-99
"K to 1"	"s1_region1_ethblk"	200	.15350417	.06928455	-99	.02512069	.02601056	-99
"K to 1"	"s1_region1_ethlat"	280	.13103593	.04776111	-99	.05824693	.02211555	-99
"K to 1"	"s1_region1_ethwht"	780	.06676279	.03839894	-99	.01003851	.00509375	-99
"K to 1"	"s1_region1_ethapi"	180	.05738299	-99	-99	.01790682	-99	-99
"K to 1"	"s1_region1_sesl"	530	.13523092	.04171879	-99	.02822933	.00849997	-99
"K to 1"	"s1_region1_sesh"	380	.03806692	-99	-99	.01455622	-99	-99
"K to 1"	"s1_region1_ssml"	610	.12367263	.05224692	-99	.02454251	.01277894	-99
"K to 1"	"s1_region1_ssmh"	280	.07111675	.03934449	-99	.02789841	.01159891	-99
"K to 1"	"s1_region1_ssrl"	590	.11854734	.04159059	-99	.02516758	.00792742	-99
"K to 1"	"s1_region1_ssrh"	300	.04111818	-99	-99	.01685459	-99	-99
"K to 1"	"s1_region1_swdy"	290	.07304938	-99	-99	.01728618	-99	-99
"K to 1"	"s1_region1_swdn"	1000	.0916815	.03782485	-99	.01812846	.00798514	-99
"K to 1"	"s1_region1_ell"	290	.12272062	-99	-99	.04646797	-99	-99
"K to 1"	"s1_region1_elln"	1230	.08360108	.04310457	-99	.01397443	.00521292	-99
"K to 1"	"s1_region2_all"	2220	.11901315	.04954777	.01855056	.01267104	.00944393	.00521403
"K to 1"	"s1_region2_male"	1130	.11966586	.06303463	.02200184	.0135447	.01104403	.00603054
"K to 1"	"s1_region2_female"	1090	.11832303	.03528783	.01490145	.01735686	.00893853	.00687488
"K to 1"	"s1_region2_ethblk"	270	.27785787	.09108633	-99	.025413	.03547585	-99
"K to 1"	"s1_region2_ethlat"	300	.14074174	.03514307	-99	.03889939	.00952381	-99
"K to 1"	"s1_region2_ethwht"	1400	.07905652	.04768304	.02007163	.00969894	.00956205	.00649304
"K to 1"	"s1_region2_ethapi"	120	.13633711	-99	-99	.03628614	-99	-99
"K to 1"	"s1_region2_sesl"	830	.15489023	.06344613	.01418817	.02322078	.0132216	.00745267
"K to 1"	"s1_region2_sesh"	470	.07787334	.03473615	.02411868	.02199642	.01463281	.00924198
"K to 1"	"s1_region2_ssml"	710	.15161501	.06218098	-99	.01591022	.01725404	-99
"K to 1"	"s1_region2_ssmh"	620	.084647	.03774129	.02791776	.0173575	.00752808	.00808664
"K to 1"	"s1_region2_ssrl"	770	.16566177	.06122704	-99	.0190881	.01907066	-99
"K to 1"	"s1_region2_ssrh"	460	.09044632	.04554088	.02622169	.02156389	.01700864	.01327258
"K to 1"	"s1_region2_swdy"	410	.15336075	.08114396	-99	.02541182	.02190797	-99
"K to 1"	"s1_region2_swdn"	1450	.09920222	.0431508	.02135958	.01478421	.00772072	.00576508
"K to 1"	"s1_region2_ell"	240	.15713698	-99	-99	.03404364	-99	-99
"K to 1"	"s1_region2_elln"	1970	.11453735	.05139605	.02042326	.01365641	.00935122	.00586359
"K to 1"	"s1_region3_all"	3950	.12046609	.0304885	.01145577	.01311803	.0059529	.00269887
"K to 1"	"s1_region3_male"	2100	.12130916	.02838232	.01149452	.01541455	.00545326	.00364093
"K to 1"	"s1_region3_female"	1850	.11954143	.03279849	.01141328	.01622099	.00787721	.00331895
"K to 1"	"s1_region3_ethblk"	760	.18758176	.02756066	-99	.02563817	.00600655	-99
"K to 1"	"s1_region3_ethlat"	1030	.130767	.04371339	.01235573	.02864604	.0177488	.0031373
"K to 1"	"s1_region3_ethwht"	1810	.0843084	.02031118	.01159366	.01518805	.00501619	.00470114
"K to 1"	"s1_region3_ethapi"	140	.09727522	-99	-99	.04524631	-99	-99
"K to 1"	"s1_region3_sesl"	1920	.14406618	.03898244	.00696697	.01771664	.00932019	.00289724
"K to 1"	"s1_region3_sesh"	510	.08152638	-99	-99	.01814936	-99	-99
"K to 1"	"s1_region3_ssml"	1590	.13685552	.03003738	-99	.01608172	.00573259	-99
"K to 1"	"s1_region3_ssmh"	720	.07492496	.02253607	.01729133	.01589264	.0085448	.00839615
"K to 1"	"s1_region3_ssrl"	1450	.13417371	.03123966	.00727386	.01739175	.00679329	.00285098
"K to 1"	"s1_region3_ssrh"	820	.11827184	.02695584	.01991408	.02516916	.00857171	.00708479
"K to 1"	"s1_region3_swdy"	660	.11769167	.03975381	.02696085	.01640841	.00818774	.0089653
"K to 1"	"s1_region3_swdn"	2500	.111758	.02493365	.00705458	.01412861	.00655281	.00289529
"K to 1"	"s1_region3_ell"	660	.13114718	.03655219	-99	.02714181	.02066058	-99
"K to 1"	"s1_region3_elln"	3280	.11804869	.02960958	.01215709	.01190156	.00442687	.00277303
"K to 1"	"s1_region4_all"	2610	.15117014	.08202382	.02993427	.01302499	.01293014	.00777792
"K to 1"	"s1_region4_male"	1320	.15365836	.081053	.03074594	.01409407	.01244952	.00774551
"K to 1"	"s1_region4_female"	1300	.14862325	.08301752	.02910347	.01642242	.01723641	.00948366
"K to 1"	"s1_region4_ethblk"	50	-99	-99	-99	-99	-99	-99
"K to 1"	"s1_region4_ethlat"	1050	.16763898	.08983321	.01569505	.01468187	.01674353	.00419052
"K to 1"	"s1_region4_ethwht"	1000	.1419735	.084375	.05012429	.0200559	.02079125	.01758081
"K to 1"	"s1_region4_ethapi"	370	.09030077	.02862948	-99	.03092596	.00830233	-99
"K to 1"	"s1_region4_sesl"	1140	.17732985	.08618363	.02198297	.01459471	.01261838	.00937079
"K to 1"	"s1_region4_sesh"	460	.13012505	.08946371	.06110457	.02693801	.02377359	.02238983
"K to 1"	"s1_region4_ssml"	1060	.17929438	.09363582	.03109815	.02089006	.01708704	.00669645
"K to 1"	"s1_region4_ssmh"	500	.13388707	.07987162	.03065794	.03580296	.02890976	.01781374
"K to 1"	"s1_region4_ssrl"	1050	.18134455	.08117454	.02833837	.01742561	.01509629	.00798372
"K to 1"	"s1_region4_ssrh"	530	.12588376	.08614271	.04574708	.03357052	.02512501	.01749131
"K to 1"	"s1_region4_swdy"	340	.19369887	.07319682	-99	.02320163	.01618489	-99
"K to 1"	"s1_region4_swdn"	1880	.13784963	.07887967	.02980187	.0161653	.01466154	.0109875
"K to 1"	"s1_region4_ell"	770	.1430195	.06518473	.01718206	.01842102	.01345267	.00663648
"K to 1"	"s1_region4_elln"	1830	.15449987	.08865148	.03484136	.01798876	.01531328	.00981926
"K to 1"	"s1_city_all"	3300	.1553591	.0606751	.02088061	.01295261	.0090934	.0065982
"K to 1"	"s1_city_male"	1650	.15859573	.06151495	.02308442	.01767414	.01010633	.0068295
"K to 1"	"s1_city_female"	1640	.15203341	.05981214	.01861614	.01491725	.0113986	.00803457
"K to 1"	"s1_city_ethblk"	620	.20672435	.05236175	.02129545	.03243579	.01225519	.00862861
"K to 1"	"s1_city_ethlat"	1240	.14678683	.06634906	.01121701	.01347131	.01129198	.00402342
"K to 1"	"s1_city_ethwht"	820	.15469607	.07555287	.03681834	.02598728	.02372313	.01866138
"K to 1"	"s1_city_ethapi"	440	.08787337	.02386784	-99	.02557031	.00813671	-99
"K to 1"	"s1_city_sesl"	1830	.17686115	.06423994	.01949725	.01423441	.00895731	.00671224
"K to 1"	"s1_city_sesh"	440	.10119602	.05173195	.03638926	.02603165	.01682141	.01661288
"K to 1"	"s1_city_ssml"	1470	.17589112	.06643361	.01695047	.01544687	.01309806	.00579253
"K to 1"	"s1_city_ssmh"	570	.10773635	.04269506	.02291045	.02455226	.01430216	.01244391
"K to 1"	"s1_city_ssrl"	1440	.19377575	.06758549	.01929443	.01775133	.01505836	.00753834
"K to 1"	"s1_city_ssrh"	620	.10883522	.03311916	.02079181	.02249842	.01091707	.00977116
"K to 1"	"s1_city_swdy"	440	.1553675	.0564219	.02283558	.01793657	.0129729	.00836833
"K to 1"	"s1_city_swdn"	2200	.14866799	.05985105	.02380259	.01307693	.00930906	.00876409
"K to 1"	"s1_city_ell"	1060	.1394946	.04913273	.01267225	.01784879	.01077911	.00487873
"K to 1"	"s1_city_elln"	2230	.16130785	.06548697	.02420862	.01401164	.01069293	.00833047
"K to 1"	"s1_suburb_all"	3630	.11318158	.04763517	.01806983	.01278297	.00736299	.00323609
"K to 1"	"s1_suburb_male"	1870	.1192871	.05134268	.01829894	.01242925	.00774267	.00430822
"K to 1"	"s1_suburb_female"	1760	.10681022	.04376624	.01783075	.01545903	.00933551	.00470342
"K to 1"	"s1_suburb_ethblk"	390	.17189469	.07326242	-99	.02168582	.02081649	-99
"K to 1"	"s1_suburb_ethlat"	980	.14703887	.06232511	.02125301	.02666393	.01346049	.00731501
"K to 1"	"s1_suburb_ethwht"	1790	.08393845	.0346325	.01574381	.01265822	.00835368	.00505484
"K to 1"	"s1_suburb_ethapi"	270	.08636129	.03976555	-99	.02798371	.01531426	-99
"K to 1"	"s1_suburb_sesl"	1240	.14722803	.05935855	.01054601	.01845833	.01134852	.00398928
"K to 1"	"s1_suburb_sesh"	860	.07943562	.04081321	.02409425	.01501548	.01144903	.00800101
"K to 1"	"s1_suburb_ssml"	1330	.13850136	.05881193	.01454559	.01835014	.00978742	.00469763
"K to 1"	"s1_suburb_ssmh"	790	.09935004	.05298891	.02804876	.01916807	.01236523	.00840416
"K to 1"	"s1_suburb_ssrl"	1310	.14292054	.0531939	.01264946	.0167202	.00906665	.00509807
"K to 1"	"s1_suburb_ssrh"	790	.10163206	.05640855	.02411561	.02043243	.01439149	.00734883
"K to 1"	"s1_suburb_swdy"	590	.14494514	.051189	.02334567	.0209049	.01119673	.00863504
"K to 1"	"s1_suburb_swdn"	2490	.10091451	.04444051	.01471284	.01378189	.00820783	.00366079
"K to 1"	"s1_suburb_ell"	680	.1259188	.04235358	-99	.02924075	.01461901	-99
"K to 1"	"s1_suburb_elln"	2950	.11061917	.04871717	.01999637	.01257404	.00766646	.00370645
"K to 1"	"s1_ruralt_all"	3370	.10223809	.04046254	.01297749	.01334873	.00769987	.00431256
"K to 1"	"s1_ruralt_male"	1770	.09398895	.03628203	.01240435	.01339498	.00769256	.00473601
"K to 1"	"s1_ruralt_female"	1600	.11134835	.04507946	.01361045	.01797877	.00956096	.00511087
"K to 1"	"s1_ruralt_ethblk"	270	.2193653	-99	-99	.03504084	-99	-99
"K to 1"	"s1_ruralt_ethlat"	440	.15303247	.05495319	-99	.04658624	.01695353	-99
"K to 1"	"s1_ruralt_ethwht"	2380	.07146765	.03825394	.01555603	.01246409	.0085012	.00549053
"K to 1"	"s1_ruralt_ethapi"	90	-99	-99	-99	-99	-99	-99
"K to 1"	"s1_ruralt_sesl"	1360	.12991595	.04456429	-99	.01881255	.00702826	-99
"K to 1"	"s1_ruralt_sesh"	520	.07339879	.03295785	.0252091	.01843508	.01302186	.01122486
"K to 1"	"s1_ruralt_ssml"	1170	.12718988	.04342992	-99	.01744755	.00767543	-99
"K to 1"	"s1_ruralt_ssmh"	760	.06921012	.03182723	.01728685	.01637169	.01160603	.00832492
"K to 1"	"s1_ruralt_ssrl"	1110	.10648517	.0345208	-99	.01332555	.00453611	-99
"K to 1"	"s1_ruralt_ssrh"	690	.09849517	.0413604	.02800577	.02781346	.01407406	.01196889
"K to 1"	"s1_ruralt_swdy"	660	.11062918	.05660546	.01723877	.01980845	.01375339	.00890233
"K to 1"	"s1_ruralt_swdn"	2150	.09015233	.03274059	.01169985	.01524134	.00867947	.00534927
"K to 1"	"s1_ruralt_ell"	230	.16196224	.05295669	-99	.03880983	.01820614	-99
"K to 1"	"s1_ruralt_elln"	3130	.09777977	.03978546	.01257288	.0128698	.00793214	.00435169
"K to 1"	"s1_enrl_all"	4500	.12876969	.0523846	.01889553	.01380616	.00595299	.00569623
"K to 1"	"s1_enrl_male"	2320	.13356947	.05717919	.02108689	.01367243	.00728123	.00598467
"K to 1"	"s1_enrl_female"	2180	.12366861	.04728904	.01656662	.01739879	.00796715	.00686871
"K to 1"	"s1_enrl_ethblk"	620	.24399478	.06534536	.02145212	.03663396	.01615472	.01027999
"K to 1"	"s1_enrl_ethlat"	840	.16940743	.06309987	.01571321	.02758907	.0131002	.00511787
"K to 1"	"s1_enrl_ethwht"	2470	.08295424	.04424247	.01974655	.01326997	.00928661	.00834781
"K to 1"	"s1_enrl_ethapi"	270	.1444188	.06498082	-99	.04213134	.02795644	-99
"K to 1"	"s1_enrl_sesl"	1960	.17172806	.06735514	.01850029	.01969794	.00797562	.00713154
"K to 1"	"s1_enrl_sesh"	790	.10097759	.04634167	.03107358	.01537551	.01160452	.00990339
"K to 1"	"s1_enrl_ssml"	1750	.16088636	.06234674	.01687796	.01626874	.00861318	.00564552
"K to 1"	"s1_enrl_ssmh"	920	.08042831	.03709379	.02373768	.01775123	.01074279	.00976186
"K to 1"	"s1_enrl_ssrl"	1800	.16890625	.06414728	.01662033	.01549236	.0094009	.00639339
"K to 1"	"s1_enrl_ssrh"	820	.09627461	.03833053	.02090309	.02021221	.01068495	.00814708
"K to 1"	"s1_enrl_swdy"	780	.12990971	.05425696	.01595296	.01793939	.00847484	.00759017
"K to 1"	"s1_enrl_swdn"	3010	.11997091	.04965587	.02186426	.01508566	.00696028	.0074043
"K to 1"	"s1_enrl_ell"	620	.17668994	.06396048	.01665762	.02736243	.01638088	.00794427
"K to 1"	"s1_enrl_elln"	3870	.12167537	.05100583	.01924257	.01426936	.00620323	.00595493
"K to 1"	"s1_enrh_all"	5790	.11959084	.04750247	.01614685	.00842271	.00674295	.00312301
"K to 1"	"s1_enrh_male"	2980	.11619386	.04422306	.01561553	.00927102	.00673853	.00331444
"K to 1"	"s1_enrh_female"	2820	.12317988	.05096728	.01670822	.0116119	.00898977	.0041667
"K to 1"	"s1_enrh_ethblk"	660	.17453715	.03981449	-99	.02042438	.00956184	-99
"K to 1"	"s1_enrh_ethlat"	1820	.13917392	.06308193	.01409676	.01467708	.01025508	.00408717
"K to 1"	"s1_enrh_ethwht"	2520	.09740269	.0437178	.01940277	.01182943	.00926301	.00597359
"K to 1"	"s1_enrh_ethapi"	530	.06771906	.02019655	-99	.01871644	.00680118	-99
"K to 1"	"s1_enrh_sesl"	2460	.14171301	.04920356	.00772197	.01196344	.00727296	.00226341
"K to 1"	"s1_enrh_sesh"	1030	.07156568	.03804896	.0253622	.01178196	.01109498	.0085879
"K to 1"	"s1_enrh_ssml"	2220	.14163365	.05337214	.01078895	.01257183	.00815981	.0021756
"K to 1"	"s1_enrh_ssmh"	1200	.09656415	.04533537	.02179526	.01618798	.01185361	.00781631
"K to 1"	"s1_enrh_ssrl"	2070	.13894088	.04526417	.01047697	.01105749	.0066754	.00234253
"K to 1"	"s1_enrh_ssrh"	1280	.10618538	.04703015	.0265586	.01787355	.01159268	.00808441
"K to 1"	"s1_enrh_swdy"	910	.13604519	.05516986	.0240182	.01418022	.01085882	.00704945
"K to 1"	"s1_enrh_swdn"	3830	.10862729	.04301189	.01335444	.00971093	.0076183	.00421906
"K to 1"	"s1_enrh_ell"	1350	.12330158	.04121814	.01048309	.01516537	.00878427	.00394505
"K to 1"	"s1_enrh_elln"	4430	.11847928	.04914436	.01757059	.00973359	.00753272	.00375391
"K to 1"	"s1_min1_all"	4510	.06392961	.03718192	.01542472	.00808643	.00618933	.00373874
"K to 1"	"s1_min1_male"	2290	.06811699	.03996492	.01598088	.0084587	.00731242	.00417294
"K to 1"	"s1_min1_female"	2220	.05957891	.03429036	.01484686	.00983321	.00649343	.00445987
"K to 1"	"s1_min1_ethblk"	100	.12274228	-99	-99	.04761876	-99	-99
"K to 1"	"s1_min1_ethlat"	310	.08680161	.07075889	-99	.01985376	.01782933	-99
"K to 1"	"s1_min1_ethwht"	3490	.05975359	.03379164	.01506378	.00758033	.00560984	.00398367
"K to 1"	"s1_min1_ethapi"	380	.05220952	-99	-99	.01652119	-99	-99
"K to 1"	"s1_min1_sesl"	1150	.08406404	.04566058	-99	.01444589	.00880914	-99
"K to 1"	"s1_min1_sesh"	1260	.05757286	.0355316	.02514188	.01009838	.00922823	.00798699
"K to 1"	"s1_min1_ssml"	1250	.08327638	.04669379	.01024008	.01110081	.00742778	.00413164
"K to 1"	"s1_min1_ssmh"	1260	.05709322	.03653424	.02143355	.01185231	.00897796	.00667117
"K to 1"	"s1_min1_ssrl"	1270	.0828504	.04216895	.00992791	.01197128	.00727163	.00402309
"K to 1"	"s1_min1_ssrh"	1100	.05642709	.04323016	.02548904	.01377081	.01227959	.00946866
"K to 1"	"s1_min1_swdy"	860	.08955016	.04899153	.01798975	.01405096	.0104118	.00735443
"K to 1"	"s1_min1_swdn"	3100	.05519044	.03133639	.01507388	.00877688	.00630461	.00456364
"K to 1"	"s1_min1_ell"	330	.05360344	-99	-99	.01783452	-99	-99
"K to 1"	"s1_min1_elln"	4180	.06446611	.03782925	.01620679	.008199	.0062948	.00394582
"K to 1"	"s1_min2_all"	2140	.14144855	.0492467	.02047145	.01834626	.0111909	.00848543
"K to 1"	"s1_min2_male"	1110	.12358613	.0431712	.01380819	.02160871	.01023522	.00753918
"K to 1"	"s1_min2_female"	1030	.16047871	.05571938	.02757032	.02478962	.01673862	.01066961
"K to 1"	"s1_min2_ethblk"	250	.22404592	-99	-99	.04413579	-99	-99
"K to 1"	"s1_min2_ethlat"	450	.1144746	.04042112	-99	.02439028	.01141104	-99
"K to 1"	"s1_min2_ethwht"	1020	.13050731	.06022652	.02693648	.02329392	.01777267	.01385913
"K to 1"	"s1_min2_ethapi"	250	.09606394	-99	-99	.03068813	-99	-99
"K to 1"	"s1_min2_sesl"	890	.16882236	.04793959	.01390794	.02855136	.01496548	.01004157
"K to 1"	"s1_min2_sesh"	370	.09017781	.04230132	-99	.02245689	.01297504	-99
"K to 1"	"s1_min2_ssml"	790	.17380583	.06312267	.0229817	.02676694	.01455732	.00906983
"K to 1"	"s1_min2_ssmh"	470	.09407967	.03901078	.02219967	.0205207	.01190987	.00893664
"K to 1"	"s1_min2_ssrl"	740	.17191878	.04995939	.02259271	.02500976	.01532924	.01134988
"K to 1"	"s1_min2_ssrh"	500	.10920815	.03315962	.02351859	.02680265	.00978366	.00897536
"K to 1"	"s1_min2_swdy"	360	.15642311	.04701983	-99	.03195918	.01759897	-99
"K to 1"	"s1_min2_swdn"	1400	.12619584	.04882779	.02238246	.01961422	.0129203	.0114643
"K to 1"	"s1_min2_ell"	370	.14841281	.05303611	.03394157	.03029377	.02028324	.01535645
"K to 1"	"s1_min2_elln"	1760	.13956968	.04878494	.01844913	.01983123	.01220631	.00886517
"K to 1"	"s1_min3_all"	3650	.17749572	.06307234	.01716107	.01558632	.00851246	.00253305
"K to 1"	"s1_min3_male"	1890	.18243845	.06322615	.02212916	.01714197	.00866725	.0042523
"K to 1"	"s1_min3_female"	1760	.17216994	.06290661	.01180797	.01781011	.01099191	.00375194
"K to 1"	"s1_min3_ethblk"	930	.20228827	.05184324	.01922955	.02944937	.01044278	.00650992
"K to 1"	"s1_min3_ethlat"	1890	.16621788	.06766897	.01186889	.01732141	.01159217	.00308944
"K to 1"	"s1_min3_ethwht"	470	.19732287	.07046198	.03084535	.03151141	.01744477	.01226231
"K to 1"	"s1_min3_ethapi"	170	.14581251	-99	-99	.04426196	-99	-99
"K to 1"	"s1_min3_sesl"	2380	.180141	.06518675	.01343971	.01437849	.00936414	.0036142
"K to 1"	"s1_min3_sesh"	190	.22568164	.074848	.06145587	.04087543	.02603269	.02479816
"K to 1"	"s1_min3_ssml"	1920	.17715752	.05996534	.01033922	.01563397	.0097678	.00262836
"K to 1"	"s1_min3_ssmh"	390	.17771025	.06153355	.02609379	.03766294	.02219447	.01324009
"K to 1"	"s1_min3_ssrl"	1850	.18581423	.06128058	.01070511	.01619086	.01078464	.00292225
"K to 1"	"s1_min3_ssrh"	500	.18301364	.05570957	.02375146	.03177995	.01553457	.0102438
"K to 1"	"s1_min3_swdy"	480	.18840901	.07066848	.0305979	.02550834	.01463274	.01062566
"K to 1"	"s1_min3_swdn"	2340	.17237769	.06028953	.01504648	.01548848	.00927332	.00338262
"K to 1"	"s1_min3_ell"	1270	.15085539	.04984787	.00827904	.01731853	.01193117	.00356978
"K to 1"	"s1_min3_elln"	2370	.1889011	.0693029	.02125005	.01797777	.00859621	.00334761
"K to 1"	"s1_frl1_all"	2310	.09297899	.04844335	.01694533	.02093677	.01159537	.00467582
"K to 1"	"s1_frl1_male"	1150	.10311352	.05156337	.01668212	.0253065	.01245981	.00561912
"K to 1"	"s1_frl1_female"	1160	.08274986	.04529421	.017211	.01940737	.01271268	.00562513
"K to 1"	"s1_frl1_ethblk"	90	.32368615	.12435162	-99	.1075801	.04866759	-99
"K to 1"	"s1_frl1_ethlat"	380	.14745729	.09895291	.0279654	.02615401	.0166106	.00966327
"K to 1"	"s1_frl1_ethwht"	1470	.06372606	.0328276	.01519795	.01706505	.00945121	.00501696
"K to 1"	"s1_frl1_ethapi"	250	.05042912	-99	-99	.01464115	-99	-99
"K to 1"	"s1_frl1_sesl"	400	.23467524	.10734732	-99	.05069706	.02387439	-99
"K to 1"	"s1_frl1_sesh"	920	.05209262	.03611974	.02303118	.01068741	.01083109	.00916678
"K to 1"	"s1_frl1_ssml"	590	.133194	.05546231	-99	.03487664	.01434697	-99
"K to 1"	"s1_frl1_ssmh"	690	.06897909	.04738578	.02754652	.01839711	.01490454	.01033305
"K to 1"	"s1_frl1_ssrl"	630	.11582551	.05558653	-99	.02148922	.01642749	-99
"K to 1"	"s1_frl1_ssrh"	650	.06798599	.05832573	.02991126	.01867059	.01735422	.01162109
"K to 1"	"s1_frl1_swdy"	420	.10949028	.05554633	-99	.02545367	.01772336	-99
"K to 1"	"s1_frl1_swdn"	1670	.07856015	.04196332	.01464045	.01986889	.01079286	.00463219
"K to 1"	"s1_frl1_ell"	290	.10070598	.06306441	-99	.03383158	.03297951	-99
"K to 1"	"s1_frl1_elln"	2010	.09214889	.04708557	.01723871	.02200102	.01141381	.00509133
"K to 1"	"s1_frl2_all"	3030	.09298027	.04610844	.02288397	.01254162	.00977296	.00778579
"K to 1"	"s1_frl2_male"	1560	.08865962	.04275356	.0192262	.01021156	.00880133	.00727901
"K to 1"	"s1_frl2_female"	1460	.09764989	.04973429	.02683717	.01839796	.01342342	.00964966
"K to 1"	"s1_frl2_ethblk"	190	.14357619	-99	-99	.04216002	-99	-99
"K to 1"	"s1_frl2_ethlat"	460	.1136662	.05792919	-99	.0207701	.01244319	-99
