period	subgrp	N	mob1	mob2	mob3	mob1se	mob2se	mob3se
"1 to 5"	"s2_t1n_min3"	330	.59297243	.23523855	.05774078	.0441183	.05304387	.0245208
"1 to 5"	"s2_t1n_frl1"	1310	.41238306	.22306592	.12240869	.03506299	.03111024	.02268156
"1 to 5"	"s2_t1n_frl2"	610	.48670224	.16007377	.07373974	.04809441	.03193812	.02125478
"1 to 5"	"s2_t1n_frl34"	320	.53721755	.12991295	.06090881	.0429108	.03026326	.02448255
"1 to 5"	"s2_t1n_dsize1"	260	.35393466	.31512317	.05922668	.07132112	.06952218	.04450507
"1 to 5"	"s2_t1n_dsize2"	980	.43251809	.18588026	.09551318	.04021222	.02789307	.02100657
"1 to 5"	"s2_t1n_dsize3"	1190	.48316753	.17504711	.09575884	.02076561	.02580592	.01781004
"1 to 5"	"s2_region1_city"	370	.52983425	.21056218	.04992448	.05088858	.04238806	.01908408
"1 to 5"	"s2_region1_suburb"	540	.28578683	.16272327	.04796478	.04903775	.04130344	.01904229
"1 to 5"	"s2_region1_ruralt"	290	.29980502	.26299562	.08848114	.05527814	.04288782	.01886562
"1 to 5"	"s2_region1_enrl"	520	.32280153	.17274379	-99	.05118812	.04193625	-99
"1 to 5"	"s2_region1_enrh"	680	.41512531	.22368232	.09248938	.0365098	.02906536	.0188718
"1 to 5"	"s2_region1_min1"	790	.26993366	.17086942	.0542119	.03366176	.03069455	.01370037
"1 to 5"	"s2_region1_min2"	130	.51842724	.29493336	-99	.09611147	.06739738	-99
"1 to 5"	"s2_region1_min3"	270	.52784587	.21604949	.05434698	.05311733	.04898406	.0220929
"1 to 5"	"s2_region1_frl1"	550	.28166426	.21492364	.08449502	.04468317	.0415167	.02026911
"1 to 5"	"s2_region1_frl2"	280	.29015049	.11811703	-99	.06004296	.02778673	-99
"1 to 5"	"s2_region1_frl34"	360	.53852475	.23183856	.04833588	.05116715	.04074216	.01831304
"1 to 5"	"s2_region1_dsize1"	510	.31169842	.2061464	.0630416	.04804988	.04250301	.00908474
"1 to 5"	"s2_region1_dsize2"	390	.33492051	.21338859	.05823737	.0491684	.04534441	.02162745
"1 to 5"	"s2_region1_dsize3"	290	.53175189	.16355109	.04478995	.04927188	.03739591	.02477982
"1 to 5"	"s2_region2_city"	460	.55056338	.25942634	.04485264	.03257822	.05760318	.01976415
"1 to 5"	"s2_region2_suburb"	580	.43106523	.29564816	.05153922	.04718584	.05820386	.01998528
"1 to 5"	"s2_region2_ruralt"	680	.37799041	.19268241	.05285885	.06881649	.0418415	.02267408
"1 to 5"	"s2_region2_enrl"	1190	.47151163	.27372854	.05832073	.03491763	.02950936	.01295603
"1 to 5"	"s2_region2_enrh"	510	.42164675	.19608617	.03077243	.05391825	.04486631	.01394154
"1 to 5"	"s2_region2_min1"	1280	.41976362	.24082185	.04685689	.0385129	.02884757	.00980912
"1 to 5"	"s2_region2_min2"	150	.52569538	.31971634	-99	.07350111	.08674704	-99
"1 to 5"	"s2_region2_min3"	270	.54515976	.24883721	.07510016	.05681517	.05270996	.02743662
"1 to 5"	"s2_region2_frl1"	770	.3930709	.21966627	.05983836	.04235937	.04413989	.01947634
"1 to 5"	"s2_region2_frl2"	390	.44908354	.31184864	.0601253	.04038334	.04425067	.04061517
"1 to 5"	"s2_region2_frl34"	350	.57042637	.28037988	.04464447	.03641446	.05779836	.01971957
"1 to 5"	"s2_region2_dsize1"	670	.39685832	.32861456	.07875993	.04303006	.04226904	.02670381
"1 to 5"	"s2_region2_dsize2"	710	.4651386	.19953228	.0432792	.04267785	.03293028	.0131245
"1 to 5"	"s2_region2_dsize3"	310	.54065815	.26091057	-99	.05026663	.05504069	-99
"1 to 5"	"s2_region3_city"	770	.63577857	.17892087	.06192697	.03240337	.0326356	.01255427
"1 to 5"	"s2_region3_suburb"	780	.52769514	.18699742	.08896219	.03982269	.04228362	.01782791
"1 to 5"	"s2_region3_ruralt"	960	.40593819	.1362408	.06596569	.06228332	.02771674	.02193792
"1 to 5"	"s2_region3_enrl"	810	.5411404	.18794553	.05047651	.04475078	.03902735	.01909153
"1 to 5"	"s2_region3_enrh"	1700	.50625089	.15568665	.0810327	.0359685	.01909644	.0139065
"1 to 5"	"s2_region3_min1"	1090	.48264049	.18763558	.10653749	.04479337	.03013834	.02503105
"1 to 5"	"s2_region3_min2"	500	.43873394	.13322788	.0722732	.07130097	.03131631	.02457517
"1 to 5"	"s2_region3_min3"	930	.5902076	.15918966	.03638169	.04628944	.03067259	.01183971
"1 to 5"	"s2_region3_frl1"	440	.54483186	.27533024	.13242093	.06585223	.07504089	.03524996
"1 to 5"	"s2_region3_frl2"	690	.52375762	.16249493	.07985784	.05491504	.0286943	.02274478
"1 to 5"	"s2_region3_frl34"	1330	.51516679	.1405588	.05311362	.0445712	.02291302	.01208018
"1 to 5"	"s2_region3_dsize1"	460	.4348155	.20536384	.05972239	.09189005	.05520239	.03444978
"1 to 5"	"s2_region3_dsize2"	750	.47953048	.14602491	.07459345	.06299951	.03177218	.01671814
"1 to 5"	"s2_region3_dsize3"	1290	.56875999	.16331949	.07300409	.01990247	.02439268	.01315454
"1 to 5"	"s2_region4_city"	810	.47078635	.15758035	.03499999	.03374304	.02638531	.01086306
"1 to 5"	"s2_region4_suburb"	670	.45045673	.24105103	.07479306	.04620656	.03335984	.03016875
"1 to 5"	"s2_region4_ruralt"	370	.27046118	.12648786	.1064271	.05083615	.03787632	.03691387
"1 to 5"	"s2_region4_enrl"	660	.38145045	.11738419	.0449573	.04073745	.01904044	.01451079
"1 to 5"	"s2_region4_enrh"	1200	.44757454	.22508323	.07749739	.02846173	.02689029	.02180047
"1 to 5"	"s2_region4_min1"	790	.41972196	.17312502	.11944033	.0285229	.03357462	.03253217
"1 to 5"	"s2_region4_min2"	320	.42519156	.23201498	-99	.05421922	.05665698	-99
"1 to 5"	"s2_region4_min3"	750	.4233296	.17614054	.02626514	.04231467	.03163935	.00819707
"1 to 5"	"s2_region4_frl1"	510	.42887467	.27217603	.13248293	.04549115	.03938463	.03439899
"1 to 5"	"s2_region4_frl2"	380	.4129919	.09960414	.05634241	.05544211	.0251046	.01247792
"1 to 5"	"s2_region4_frl34"	920	.42441918	.15104186	.01937164	.03360741	.02167276	.00637468
"1 to 5"	"s2_region4_dsize1"	90	.12471886	.12471886	-99	.05219952	.05219952	-99
"1 to 5"	"s2_region4_dsize2"	690	.38835058	.17481421	.06840798	.04194812	.02486555	.02217293
"1 to 5"	"s2_region4_dsize3"	1070	.47453439	.19211287	.0648876	.02659186	.03122411	.01617837
"1 to 5"	"s2_city_enrl"	900	.55747715	.20784868	.0500941	.03309183	.03521603	.01399938
"1 to 5"	"s2_city_enrh"	1510	.55409035	.18431672	.04825457	.0240022	.02078308	.00978307
"1 to 5"	"s2_city_min1"	610	.47049615	.16202967	.06731653	.04203655	.03428495	.02146916
"1 to 5"	"s2_city_min2"	480	.52276305	.20851343	.06819162	.04604737	.03892272	.02454828
"1 to 5"	"s2_city_min3"	1330	.59717373	.20043203	.03606514	.02281093	.02543108	.0083177
"1 to 5"	"s2_city_frl1"	340	.47324926	.22348696	.1091898	.05683292	.0555613	.04065714
"1 to 5"	"s2_city_frl2"	530	.54069702	.17826291	.04744124	.04083828	.04035895	.01899942
"1 to 5"	"s2_city_frl34"	1420	.59647586	.19861887	.04112993	.02199158	.02319279	.00726198
"1 to 5"	"s2_city_dsize1"	60	.56125353	.34983932	.21191877	.14794971	.10786596	.11846642
"1 to 5"	"s2_city_dsize2"	480	.52734362	.23295852	.04670562	.04524424	.04221368	.01686092
"1 to 5"	"s2_city_dsize3"	1860	.5638517	.17635864	.04259572	.01735333	.02102018	.00802454
"1 to 5"	"s2_suburb_enrl"	870	.4313444	.22744788	.02494441	.03779487	.0408646	.00978102
"1 to 5"	"s2_suburb_enrh"	1700	.44500187	.2131211	.0940923	.02705933	.02287946	.01686505
"1 to 5"	"s2_suburb_min1"	1560	.41155748	.21638659	.08844548	.0319493	.02820908	.01887409
"1 to 5"	"s2_suburb_min2"	420	.49035929	.25985995	.03218464	.04737051	.05290826	.01418065
"1 to 5"	"s2_suburb_min3"	590	.47395173	.19230179	.05071204	.04849044	.03011948	.01795098
"1 to 5"	"s2_suburb_frl1"	1240	.3856914	.24493424	.08289294	.03445735	.03517291	.01829629
"1 to 5"	"s2_suburb_frl2"	440	.47783478	.20015078	.04701407	.04815612	.04091067	.01554989
"1 to 5"	"s2_suburb_frl34"	780	.47419416	.17921519	.05728735	.03779301	.02686224	.01819385
"1 to 5"	"s2_suburb_dsize1"	660	.37725643	.22855349	.03050959	.05881423	.04659495	.01387216
"1 to 5"	"s2_suburb_dsize2"	1090	.42403625	.21786345	.05958184	.03522695	.0280334	.01513083
"1 to 5"	"s2_suburb_dsize3"	800	.49809039	.20841492	.10751891	.03139515	.03498481	.02591247
"1 to 5"	"s2_ruralt_enrl"	1390	.36849025	.17212815	.05929723	.03765893	.02520765	.01556272
"1 to 5"	"s2_ruralt_enrh"	880	.36741439	.14789386	.09133396	.05435114	.02787122	.02023468
"1 to 5"	"s2_ruralt_min1"	1780	.39047187	.1897164	.08118306	.03357624	.02412425	.01892277
"1 to 5"	"s2_ruralt_min2"	210	.27053374	.09541287	.07390125	.10596667	.04719445	.04009184
"1 to 5"	"s2_ruralt_min3"	290	.34056102	.09525268	.03885563	.10893908	.02312174	.01114787
"1 to 5"	"s2_ruralt_frl1"	680	.41866734	.25238534	.12957904	.04790381	.0346207	.02754654
"1 to 5"	"s2_ruralt_frl2"	780	.37219548	.15785144	.0856544	.03950643	.03107952	.02569192
"1 to 5"	"s2_ruralt_frl34"	760	.34491642	.1117666	.0297893	.05869638	.02792899	.01214913
"1 to 5"	"s2_ruralt_dsize1"	1020	.35062979	.23939253	.07526218	.0430834	.03428197	.02402461
"1 to 5"	"s2_ruralt_dsize2"	970	.38483212	.11024571	.07284123	.0496474	.01871309	.01554321
"1 to 5"	"s2_ruralt_dsize3"	290	.36329894	.12263103	.0617759	.06168641	.0618238	.03339232
"1 to 5"	"s2_enrl_min1"	2000	.40091718	.19174457	.04587677	.0247196	.01935892	.01012241
"1 to 5"	"s2_enrl_min2"	510	.47002633	.23933179	.06609093	.04405375	.04200949	.02104013
"1 to 5"	"s2_enrl_min3"	660	.52979208	.1917111	.03563227	.05386057	.03958169	.01196954
"1 to 5"	"s2_enrl_frl1"	1030	.37076152	.21747498	.05310425	.03405825	.03611714	.01557347
"1 to 5"	"s2_enrl_frl2"	870	.47204513	.2260248	.06570561	.03421965	.03335288	.02254957
"1 to 5"	"s2_enrl_frl34"	1150	.49522832	.1764108	.03179419	.0323868	.02470259	.00908472
"1 to 5"	"s2_enrl_dsize1"	1030	.38364509	.28850071	.07989508	.03615757	.03498934	.02007698
"1 to 5"	"s2_enrl_dsize2"	1300	.42585995	.17390051	.03334037	.03225749	.02527131	.00843109
"1 to 5"	"s2_enrl_dsize3"	830	.54569942	.16449444	.03938064	.02661956	.02831122	.01330157
"1 to 5"	"s2_enrh_min1"	1940	.42267637	.20200304	.11932719	.02835969	.02225679	.01849152
"1 to 5"	"s2_enrh_min2"	600	.44998232	.17886894	.04720138	.06276723	.03649459	.01820865
"1 to 5"	"s2_enrh_min3"	1550	.5248728	.17711208	.04238845	.02882737	.01693796	.00902027
"1 to 5"	"s2_enrh_frl1"	1240	.43949479	.26631428	.13992702	.033225	.03215008	.02307493
"1 to 5"	"s2_enrh_frl2"	870	.43715129	.12344818	.05854212	.04967456	.02002615	.01346336
"1 to 5"	"s2_enrh_frl34"	1800	.50179512	.1673842	.04852365	.0311647	.0173093	.0096635
"1 to 5"	"s2_enrh_dsize1"	700	.35549167	.18476368	.04899146	.06379526	.03472673	.01347507
"1 to 5"	"s2_enrh_dsize2"	1240	.43025688	.18308053	.09622768	.03517097	.02005062	.01727386
"1 to 5"	"s2_enrh_dsize3"	2130	.5281606	.19025523	.07237481	.01978723	.01939607	.01286979
"1 to 5"	"s2_min1_frl1"	2020	.38159138	.21749547	.1012583	.02680924	.02448289	.01619088
"1 to 5"	"s2_min1_frl2"	1180	.41834393	.16498989	.0625404	.03423725	.0238245	.0179139
